date	rank	quote	market cap	24-hr volume	24-hr volume δ	vol δ%	price δ%	vol ^ 5%	vol ^ 10%	price ^ 10%	correspondence 5%	correspondence 10%	n
2025-07-24	8655	$0.002130	$32,227	$129,791	$255	0.20%	0.09%	0	0	0	0	0	237
2025-07-23	8682	$0.002128	$31,925	$129,536	-$7,007	-5.41%	-1.93%	0	0	0	0	0	236
2025-07-22	8677	$0.002169	$32,659	$136,543	$2,861	2.10%	-3.27%	0	0	0	0	0	235
2025-07-21	8581	$0.002240	$33,604	$133,682	$3,164	2.37%	1.43%	0	0	0	0	0	234
2025-07-20	8516	$0.002208	$33,066	$130,518	$2,659	2.04%	1.31%	0	0	0	0	0	233
2025-07-19	8530	$0.002179	$32,764	$127,859	$24,625	19.26%	-6.33%	1	1	0	0	0	232
2025-07-18	8472	$0.002317	$34,666	$103,234	$8,616	8.35%	4.57%	1	0	0	0	0	231
2025-07-17	8480	$0.002211	$33,187	$94,618	-$37,442	-39.57%	-15.47%	0	0	0	0	0	230
2025-07-16	8240	$0.002553	$38,288	$132,060	$35,677	27.02%	1.80%	1	1	0	0	0	229
2025-07-15	8213	$0.002507	$37,681	$96,383	-$39,377	-40.85%	-0.52%	0	0	0	0	0	228
2025-07-14	8201	$0.002520	$37,814	$135,760	$5,946	4.38%	1.43%	0	0	0	0	0	227
2025-07-13	8209	$0.002484	$37,202	$129,814	-$2,342	-1.80%	1.25%	0	0	0	0	0	226
2025-07-12	8187	$0.002453	$36,788	$132,156	$13,388	10.13%	-10.80%	1	1	0	0	0	225
2025-07-11	8073	$0.002718	$40,771	$118,768	-$7,861	-6.62%	3.64%	0	0	0	0	0	224
2025-07-10	8073	$0.002619	$39,398	$126,629	-$9,127	-7.21%	6.80%	0	0	0	0	0	223
2025-07-09	8086	$0.002441	$36,421	$135,756	$4,539	3.34%	2.05%	0	0	0	0	0	222
2025-07-08	8097	$0.002391	$35,877	$131,217	$4,539	4.68%	2.74%	0	0	0	0	0	221
2025-07-07	8108	$0.002341	$35,333	$126,678	$1,454	1.15%	-1.20%	0	0	0	0	0	222
2025-07-06	8081	$0.002369	$35,538	$125,224	$5,866	4.68%	2.74%	0	0	0	0	0	221
2025-07-05	8115	$0.002304	$34,535	$119,359	$5,866	0.00%	0.00%	0	0	0	0	0	220
2025-07-04	8148	$0.002239	$33,532	$113,493	$43,119	37.99%	-0.36%	1	1	0	0	0	219
2025-07-03	8161	$0.002247	$33,804	$70,374	-$32,557	-46.26%	3.25%	0	0	0	0	0	218
2025-07-02	8158	$0.002174	$32,616	$102,931	-$6,644	-6.45%	-0.64%	0	0	0	0	0	217
2025-07-01	8135	$0.002188	$32,687	$109,575	$1,146	1.05%	-2.10%	0	0	0	0	0	216
													
2025-06-30	8138	$0.002234	$33,698	$108,429	$0	0.00%	-0.54%	0	0	0	0	0	215
2025-06-29	8090	$0.002246	$33,893	$108,429	-$2,343	-2.16%	-0.67%	0	0	0	0	0	214
2025-06-28	8065	$0.002261	$33,916	$110,772	$3,069	2.77%	-0.95%	0	0	0	0	0	213
2025-06-27	8045	$0.002283	$34,231	$107,703	$3,069	-24.57%	1.33%	0	0	0	0	0	212
2025-06-26	8024	$0.002304	$34,546	$104,634	-$769	-0.73%	-1.48%	0	0	0	0	0	213
2025-06-25	8022	$0.002338	$34,843	$105,403	-$25,900	-24.57%	1.33%	0	0	0	0	0	212
2025-06-24	8033	$0.002307	$34,605	$131,303	-$52,649	-40.10%	-1.04%	0	0	0	0	0	211
2025-06-23	7991	$0.002331	$34,435	$183,952	-$7,023	-3.82%	-3.54%	0	0	0	0	0	210
2025-06-22	7960	$0.002414	$35,982	$190,975	-$24,676	8.68%	3.57%	1	0	0	0	0	209
2025-06-21	7929	$0.002496	$37,529	$197,998	-$42,328	-21.38%	-4.37%	0	0	0	0	0	210
2025-06-20	7904	$0.002605	$39,160	$240,326	$20,869	8.68%	3.57%	1	0	0	0	0	209
2025-06-19	7966	$0.002512	$37,676	$219,457	-$12,834	-5.85%	-2.95%	0	0	0	0	0	208
2025-06-18	7910	$0.002586	$38,967	$232,291	-$5,887	-2.53%	-4.68%	0	0	0	0	0	207
2025-06-17	7860	$0.002707	$40,607	$238,178	-$2,904	-1.22%	1.88%	0	0	0	0	0	206
2025-06-16	7936	$0.002656	$39,443	$241,082	$8,526	3.54%	-6.85%	0	0	0	0	0	205
2025-06-15	7818	$0.002838	$42,152	$232,556	-$4,946	-2.13%	-0.21%	0	0	0	0	0	204
2025-06-14	7795	$0.002844	$42,582	$237,502	-$3,904	-1.64%	0.70%	0	0	0	0	0	203
2025-06-13	7827	$0.002824	$42,107	$241,406	$6,126	2.54%	-6.16%	0	0	0	0	0	202
2025-06-12	7752	$0.002998	$45,516	$235,280	$2,128	0.90%	-3.30%	0	0	0	0	0	201
2025-06-11	7708	$0.003097	$46,547	$233,152	$32,189	13.81%	4.91%	1	1	0	0	0	200
